epoch,grad_norm,learning_rate,logits/chosen,logits/rejected,logps/chosen,logps/rejected,loss,rewards/accuracies,rewards/chosen,rewards/margins,rewards/rejected
0.04,9.539512634277344,1.5833333333333333e-05,-1.7330725193023682,-1.7294563055038452,-348.51739501953125,-322.34466552734375,0.69,0.4749999940395355,0.001385396346449852,0.008655977435410023,-0.007270582020282745
0.08,10.872020721435547,3.2500000000000004e-05,-1.8265743255615234,-1.775748610496521,-317.82012939453125,-296.84112548828125,0.661,0.628125011920929,-0.013195708394050598,0.07690807431936264,-0.09010379016399384
0.12,15.184089660644531,4.9166666666666665e-05,-2.032092571258545,-2.069488525390625,-350.57989501953125,-324.4932861328125,0.6221,0.6625000238418579,-0.28441330790519714,0.25079911947250366,-0.5352123975753784
0.16,10.921676635742188,4.998816742574214e-05,-2.168285846710205,-2.1517837047576904,-388.1837463378906,-350.2717590332031,0.6067,0.668749988079071,-0.38844528794288635,0.39666086435317993,-0.7851061224937439
0.2,15.502223014831543,4.995015849428921e-05,-1.9884624481201172,-1.9222971200942993,-343.1996154785156,-329.9097900390625,0.606,0.65625,-0.24472686648368835,0.3840516209602356,-0.6287784576416016
0.24,12.459229469299316,4.988598029196885e-05,-2.19592547416687,-2.167088031768799,-374.20074462890625,-352.16265869140625,0.5353,0.7124999761581421,-0.36628395318984985,0.7199577689170837,-1.086241602897644
0.28,12.214411735534668,4.979570013285286e-05,-2.1541824340820312,-2.1590895652770996,-379.95770263671875,-339.55462646484375,0.5482,0.6968749761581421,-0.47255057096481323,0.7214605212211609,-1.1940109729766846
0.32,7.932188034057617,4.967941270836127e-05,-2.1417441368103027,-2.1034555435180664,-363.04400634765625,-336.8297119140625,0.5565,0.706250011920929,-0.3509475588798523,0.7011952996253967,-1.0521427392959595
0.36,17.577558517456055,4.953723998794413e-05,-2.100886821746826,-2.0932531356811523,-333.0774841308594,-307.46533203125,0.5893,0.71875,-0.1607012301683426,0.5861150622367859,-0.7468163371086121
0.4,10.1820068359375,4.936933109115238e-05,-2.1496946811676025,-2.1378188133239746,-320.30010986328125,-305.02734375,0.5536,0.737500011920929,-0.17169874906539917,0.7306848168373108,-0.9023835062980652
0.44,12.252595901489258,4.917586213123203e-05,-1.9681684970855713,-2.0913121700286865,-379.3722229003906,-320.6570739746094,0.5706,0.7093750238418579,-0.40111368894577026,0.6437040567398071,-1.0448176860809326
0.48,14.841172218322754,4.895703603040572e-05,-2.038100242614746,-1.970632791519165,-337.5411682128906,-331.42767333984375,0.6079,0.659375011920929,-0.6764765381813049,0.47290077805519104,-1.1493771076202393
0.52,10.37674617767334,4.871308230703529e-05,-2.045910358428955,-2.144573211669922,-368.75604248046875,-345.7287902832031,0.5838,0.690625011920929,-0.5863230228424072,0.620186448097229,-1.2065094709396362
0.56,7.623199462890625,4.844425683488874e-05,-2.0872111320495605,-2.162864923477173,-354.77557373046875,-328.2156982421875,0.52,0.7437499761581421,-0.3915034234523773,0.7826956510543823,-1.1741992235183716
0.6,12.987466812133789,4.815084157476395e-05,-2.1594345569610596,-2.090146541595459,-328.4718933105469,-312.2159118652344,0.5841,0.703125,-0.33331841230392456,0.5862628817558289,-0.9195812940597534
