_step,train/loss,train/rewards/accuracies,train/rewards/margins,train/rewards/chosen,train/rewards/rejected,train/grad_norm,train/learning_rate
0,0.6789,0.5249999761581421,0.03685342147946358,-0.000225672876695171,-0.0370790921151638,8.762863159179688,4.999160884067051e-05
1,0.606,0.675000011920929,0.32118627429008484,-0.2170363962650299,-0.5382226705551147,13.593571662902832,4.96985092978261e-05
2,0.6503,0.6156250238418579,0.2973620295524597,-0.5570588111877441,-0.8544208407402039,13.67708969116211,4.899146773943374e-05
3,0.5755,0.699999988079071,0.44623899459838867,-0.29681557416915894,-0.7430545091629028,11.747416496276855,4.7882334038869495e-05
4,0.5884,0.715624988079071,0.5140351057052612,-0.2925621271133423,-0.8065972328186035,9.627225875854492,4.6389697052407534e-05
5,0.5731,0.699999988079071,0.5324484705924988,-0.10717634856700897,-0.6396248936653137,11.720656394958496,4.4538573073752365e-05
6,0.5506,0.7093750238418579,0.6329239010810852,-0.08413846790790558,-0.7170623540878296,12.348703384399414,4.2359986566020906e-05
7,0.5599,0.731249988079071,0.6580649614334106,-0.16269204020500183,-0.8207570314407349,15.379071235656738,3.9890450198021704e-05
8,0.597,0.65625,0.5354198813438416,-0.1072453036904335,-0.6426652073860168,19.162376403808594,3.717135289931774e-05
9,0.5362,0.721875011920929,0.757902979850769,-0.17313623428344727,-0.9310391545295715,12.094426155090332,3.42482661901463e-05
10,0.5224,0.75,0.8284475207328796,-0.7026775479316711,-1.5311251878738403,13.219294548034668,3.117018041196585e-05
11,0.5823,0.675000011920929,0.7671035528182983,-0.7355173230171204,-1.5026209354400635,13.801226615905762,2.7988683659251474e-05
12,0.5031,0.762499988079071,0.8453108668327332,-0.33946871757507324,-1.1847795248031616,8.905007362365723,2.4757097173475572e-05
13,0.5749,0.6875,0.6831651329994202,-0.3158777952194214,-0.9990429878234863,9.584086418151855,2.152958168989584e-05
14,0.51,0.734375,0.8805027008056641,-0.3647184371948242,-1.2452210187911987,8.10952377319336,1.836022971459737e-05
15,0.5223,0.7562500238418579,0.8648004531860352,-0.3039338290691376,-1.1687343120574951,14.128478050231934,1.5302158945041838e-05
16,0.5768,0.6968749761581421,0.6869989633560181,-0.3710244596004486,-1.0580235719680786,11.7344388961792,1.2406622028211844e-05
17,0.5261,0.7250000238418579,0.8033156394958496,-0.43725061416625977,-1.2405661344528198,11.817509651184082,9.722147576623743e-06
18,0.579,0.7250000238418579,0.6008841395378113,-0.29536110162734985,-0.8962451815605164,10.903501510620117,7.293726838606674e-06
19,0.5152,0.765625,0.8681426048278809,-0.08620642125606537,-0.9543489217758179,13.750995635986328,5.162059654089083e-06
20,0.5223,0.7718750238418579,0.912890613079071,-0.14383642375469208,-1.0567270517349243,9.581780433654785,3.3628723335213885e-06
21,0.538,0.746874988079071,0.8472097516059875,-0.07269421964883804,-0.9199040532112122,9.678881645202637,1.926318892145712e-06
22,0.5231,0.746874988079071,0.7687762975692749,-0.1653633415699005,-0.934139609336853,11.128019332885742,8.764756748051662e-07
23,0.5922,0.690625011920929,0.63145512342453,-0.2230425328016281,-0.8544976115226746,16.382490158081055,2.3093784127863062e-07
24,0.5102,0.75,0.8967090845108032,-0.11747296154499054,-1.0141820907592773,8.958307266235352,5.244749650301639e-10
