_step,train/loss,train/grad_norm,train/learning_rate
0,0.6963,4.267746448516846,4.999160884067051e-05
1,0.6498,5.499633312225342,4.96985092978261e-05
2,0.6553,99.0991439819336,4.899146773943374e-05
3,0.6099,4.355888366699219,4.7882334038869495e-05
4,0.6483,2.8885087966918945,4.6389697052407534e-05
5,0.65,3.3049983978271484,4.4538573073752365e-05
6,0.6159,3.0224297046661377,4.2359986566020906e-05
7,0.6257,3.521589756011963,3.9890450198021704e-05
8,0.6363,3.2183594703674316,3.717135289931774e-05
9,0.5767,4.707425594329834,3.42482661901463e-05
10,0.5419,3.1387600898742676,3.117018041196585e-05
11,0.5581,2.705749988555908,2.7988683659251474e-05
12,0.5823,2.8693177700042725,2.4757097173475572e-05
13,0.5641,4.189614295959473,2.152958168989584e-05
14,0.5902,3.0809812545776367,1.836022971459737e-05
15,0.5766,3.1865346431732178,1.5302158945041838e-05
16,0.5759,2.752017021179199,1.2406622028211844e-05
17,0.5772,3.15187406539917,9.722147576623743e-06
18,0.5944,2.9081928730010986,7.293726838606674e-06
19,0.5329,3.2356817722320557,5.162059654089083e-06
20,0.5584,2.943471908569336,3.3628723335213885e-06
21,0.5228,4.712942600250244,1.926318892145712e-06
22,0.5731,4.206275939941406,8.764756748051662e-07
23,0.5481,5.015568256378174,2.3093784127863062e-07
24,0.5587,3.9381844997406006,5.244749650301639e-10
